Source,Target,Weight,Distance,Type
24,77,0.15000000000000002,17,Undirected
24,78,0.30000000000000004,14,Undirected
24,82,0.30000000000000004,14,Undirected
25,70,0.6,8,Undirected
25,83,0.6,8,Undirected
25,87,0.6,8,Undirected
25,26,0.55,9,Undirected
25,32,0.55,9,Undirected
25,31,0.5,10,Undirected
25,34,0.5,10,Undirected
25,48,0.5,10,Undirected
26,34,0.75,5,Undirected
26,87,0.75,5,Undirected
26,32,0.6,8,Undirected
26,38,0.6,8,Undirected
26,39,0.6,8,Undirected
26,50,0.6,8,Undirected
26,68,0.6,8,Undirected
26,73,0.6,8,Undirected
26,30,0.5,10,Undirected
26,35,0.44999999999999996,11,Undirected
26,63,0.55,9,Undirected
26,67,0.55,9,Undirected
26,71,0.5,10,Undirected
26,81,0.55,9,Undirected
26,84,0.5,10,Undirected
27,34,0.65,7,Undirected
27,79,0.6,8,Undirected
27,36,0.5,10,Undirected
27,39,0.5,10,Undirected
27,49,0.5,10,Undirected
27,50,0.5,10,Undirected
27,84,0.5,10,Undirected
27,53,0.050000000000000044,19,Undirected
27,57,0.35,13,Undirected
28,64,0.55,9,Undirected
28,65,0.5,10,Undirected
28,75,0.5,10,Undirected
28,34,0.44999999999999996,11,Undirected
28,46,0.44999999999999996,11,Undirected
28,54,0.44999999999999996,11,Undirected
28,55,0.44999999999999996,11,Undirected
29,69,0.6,8,Undirected
29,52,0.55,9,Undirected
29,65,0.5,10,Undirected
29,73,0.5,10,Undirected
29,86,0.5,10,Undirected
29,44,0.44999999999999996,11,Undirected
29,48,0.44999999999999996,11,Undirected
29,54,0.44999999999999996,11,Undirected
29,66,0.44999999999999996,11,Undirected
29,33,0.4,12,Undirected
29,77,0.25,15,Undirected
29,78,0.30000000000000004,14,Undirected
30,32,0.6,8,Undirected
30,50,0.6,8,Undirected
30,72,0.55,9,Undirected
30,87,0.55,9,Undirected
30,39,0.5,10,Undirected
30,34,0.44999999999999996,11,Undirected
30,62,0.44999999999999996,11,Undirected
30,70,0.44999999999999996,11,Undirected
30,31,0.35,13,Undirected
31,32,0.44999999999999996,11,Undirected
31,65,0.44999999999999996,11,Undirected
31,52,0.4,12,Undirected
31,70,0.4,12,Undirected
31,83,0.4,12,Undirected
31,40,0.35,13,Undirected
31,69,0.35,13,Undirected
31,86,0.35,13,Undirected
31,78,0.25,15,Undirected
32,70,0.75,5,Undirected
32,72,0.75,5,Undirected
32,56,0.7,6,Undirected
32,68,0.7,6,Undirected
32,89,0.7,6,Undirected
32,34,0.65,7,Undirected
32,51,0.65,7,Undirected
32,87,0.65,7,Undirected
32,40,0.6,8,Undirected
32,35,0.44999999999999996,11,Undirected
32,36,0.5,10,Undirected
32,45,0.35,13,Undirected
32,49,0.6,8,Undirected
32,50,0.6,8,Undirected
32,59,0.5,10,Undirected
32,60,0.55,9,Undirected
32,61,0.55,9,Undirected
32,69,0.6,8,Undirected
32,78,0.30000000000000004,14,Undirected
32,79,0.5,10,Undirected
32,81,0.55,9,Undirected
32,84,0.4,12,Undirected
32,86,0.5,10,Undirected
33,52,0.65,7,Undirected
33,56,0.6,8,Undirected
33,73,0.6,8,Undirected
33,74,0.6,8,Undirected
33,35,0.55,9,Undirected
33,42,0.55,9,Undirected
33,47,0.55,9,Undirected
33,51,0.55,9,Undirected
33,54,0.55,9,Undirected
33,55,0.55,9,Undirected
33,60,0.55,9,Undirected
33,61,0.55,9,Undirected
33,72,0.55,9,Undirected
33,76,0.55,9,Undirected
33,85,0.5,10,Undirected
33,86,0.5,10,Undirected
33,88,0.44999999999999996,11,Undirected
34,87,0.8,4,Undirected
34,50,0.75,5,Undirected
34,42,0.7,6,Undirected
34,48,0.7,6,Undirected
34,64,0.7,6,Undirected
34,35,0.5,10,Undirected
34,36,0.55,9,Undirected
34,37,0.5,10,Undirected
34,38,0.65,7,Undirected
34,41,0.4,12,Undirected
34,44,0.6,8,Undirected
34,46,0.5,10,Undirected
34,67,0.5,10,Undirected
34,68,0.65,7,Undirected
34,70,0.6,8,Undirected
34,71,0.55,9,Undirected
34,72,0.6,8,Undirected
34,75,0.65,7,Undirected
34,79,0.55,9,Undirected
34,80,0.44999999999999996,11,Undirected
34,81,0.5,10,Undirected
34,83,0.6,8,Undirected
34,84,0.44999999999999996,11,Undirected
34,89,0.65,7,Undirected
35,42,0.6,8,Undirected
35,47,0.6,8,Undirected
35,87,0.6,8,Undirected
35,76,0.5,10,Undirected
35,36,0.44999999999999996,11,Undirected
35,39,0.44999999999999996,11,Undirected
35,40,0.44999999999999996,11,Undirected
35,50,0.44999999999999996,11,Undirected
35,41,0.4,12,Undirected
35,57,0.30000000000000004,14,Undirected
35,80,0.44999999999999996,11,Undirected
36,47,0.65,7,Undirected
36,72,0.65,7,Undirected
36,79,0.6,8,Undirected
36,84,0.6,8,Undirected
36,89,0.6,8,Undirected
36,42,0.55,9,Undirected
36,60,0.55,9,Undirected
36,64,0.55,9,Undirected
36,40,0.5,10,Undirected
36,50,0.5,10,Undirected
36,56,0.5,10,Undirected
36,41,0.44999999999999996,11,Undirected
36,53,0.15000000000000002,17,Undirected
36,86,0.5,10,Undirected
36,88,0.44999999999999996,11,Undirected
37,48,0.5,10,Undirected
37,87,0.5,10,Undirected
37,38,0.44999999999999996,11,Undirected
37,50,0.44999999999999996,11,Undirected
37,65,0.44999999999999996,11,Undirected
37,71,0.44999999999999996,11,Undirected
37,42,0.4,12,Undirected
37,66,0.4,12,Undirected
38,50,0.6,8,Undirected
38,68,0.5,10,Undirected
38,64,0.44999999999999996,11,Undirected
38,84,0.4,12,Undirected
39,50,0.6,8,Undirected
39,68,0.6,8,Undirected
39,73,0.6,8,Undirected
39,75,0.6,8,Undirected
39,84,0.6,8,Undirected
39,46,0.55,9,Undirected
39,49,0.5,10,Undirected
39,57,0.35,13,Undirected
39,62,0.55,9,Undirected
39,88,0.44999999999999996,11,Undirected
40,63,0.65,7,Undirected
40,64,0.65,7,Undirected
40,83,0.65,7,Undirected
40,68,0.6,8,Undirected
40,47,0.55,9,Undirected
40,62,0.55,9,Undirected
40,70,0.55,9,Undirected
40,49,0.5,10,Undirected
41,42,0.5,10,Undirected
41,47,0.5,10,Undirected
41,48,0.5,10,Undirected
41,76,0.5,10,Undirected
41,73,0.44999999999999996,11,Undirected
41,85,0.44999999999999996,11,Undirected
41,53,0.09999999999999998,18,Undirected
42,48,0.7,6,Undirected
42,87,0.7,6,Undirected
42,68,0.65,7,Undirected
42,75,0.65,7,Undirected
42,89,0.65,7,Undirected
42,44,0.6,8,Undirected
42,47,0.6,8,Undirected
42,45,0.4,12,Undirected
42,55,0.6,8,Undirected
42,60,0.5,10,Undirected
42,61,0.6,8,Undirected
42,72,0.6,8,Undirected
42,76,0.6,8,Undirected
42,80,0.55,9,Undirected
43,77,0.7,6,Undirected
43,82,0.65,7,Undirected
43,69,0.44999999999999996,11,Undirected
43,45,0.4,12,Undirected
43,54,0.4,12,Undirected
43,65,0.35,13,Undirected
43,56,0.25,15,Undirected
43,74,0.25,15,Undirected
43,75,0.25,15,Undirected
43,80,0.25,15,Undirected
43,48,0.19999999999999996,16,Undirected
44,48,0.7,6,Undirected
44,69,0.65,7,Undirected
44,64,0.6,8,Undirected
44,87,0.6,8,Undirected
44,59,0.55,9,Undirected
44,65,0.55,9,Undirected
44,68,0.55,9,Undirected
44,45,0.4,12,Undirected
44,67,0.5,10,Undirected
45,69,0.55,9,Undirected
45,86,0.44999999999999996,11,Undirected
45,48,0.4,12,Undirected
45,72,0.4,12,Undirected
45,76,0.4,12,Undirected
45,56,0.35,13,Undirected
45,65,0.35,13,Undirected
45,75,0.35,13,Undirected
45,78,0.35,13,Undirected
45,80,0.35,13,Undirected
45,77,0.30000000000000004,14,Undirected
45,82,0.35,13,Undirected
46,48,0.7,6,Undirected
46,75,0.65,7,Undirected
46,64,0.6,8,Undirected
46,56,0.55,9,Undirected
46,74,0.55,9,Undirected
46,89,0.55,9,Undirected
46,57,0.30000000000000004,14,Undirected
46,58,0.5,10,Undirected
46,67,0.5,10,Undirected
46,84,0.44999999999999996,11,Undirected
46,88,0.5,10,Undirected
47,73,0.65,7,Undirected
47,75,0.65,7,Undirected
47,48,0.6,8,Undirected
47,61,0.6,8,Undirected
47,62,0.6,8,Undirected
47,64,0.6,8,Undirected
47,72,0.6,8,Undirected
47,57,0.5,10,Undirected
47,76,0.6,8,Undirected
47,83,0.6,8,Undirected
47,88,0.5,10,Undirected
48,87,0.8,4,Undirected
48,75,0.75,5,Undirected
48,69,0.65,7,Undirected
48,73,0.65,7,Undirected
48,55,0.6,8,Undirected
48,57,0.30000000000000004,14,Undirected
48,58,0.5,10,Undirected
48,65,0.55,9,Undirected
48,66,0.6,8,Undirected
48,67,0.6,8,Undirected
48,71,0.55,9,Undirected
48,76,0.5,10,Undirected
48,80,0.44999999999999996,11,Undirected
48,83,0.6,8,Undirected
49,62,0.65,7,Undirected
49,68,0.6,8,Undirected
49,74,0.6,8,Undirected
49,89,0.6,8,Undirected
49,51,0.55,9,Undirected
49,66,0.55,9,Undirected
49,50,0.5,10,Undirected
49,52,0.44999999999999996,11,Undirected
49,53,0.050000000000000044,19,Undirected
49,59,0.5,10,Undirected
50,87,0.65,7,Undirected
50,68,0.6,8,Undirected
50,79,0.6,8,Undirected
50,53,0.050000000000000044,19,Undirected
50,62,0.55,9,Undirected
50,71,0.5,10,Undirected
50,84,0.5,10,Undirected
51,56,0.95,1,Undirected
51,74,0.75,5,Undirected
51,89,0.75,5,Undirected
51,59,0.65,7,Undirected
51,69,0.65,7,Undirected
51,75,0.65,7,Undirected
51,55,0.6,8,Undirected
51,58,0.6,8,Undirected
51,61,0.6,8,Undirected
51,64,0.6,8,Undirected
51,66,0.6,8,Undirected
51,54,0.5,10,Undirected
51,60,0.5,10,Undirected
51,70,0.6,8,Undirected
51,72,0.6,8,Undirected
51,77,0.19999999999999996,16,Undirected
51,82,0.35,13,Undirected
51,86,0.55,9,Undirected
52,86,0.65,7,Undirected
52,69,0.55,9,Undirected
52,74,0.55,9,Undirected
52,58,0.5,10,Undirected
52,61,0.5,10,Undirected
52,66,0.5,10,Undirected
52,76,0.5,10,Undirected
52,56,0.44999999999999996,11,Undirected
52,65,0.44999999999999996,11,Undirected
52,73,0.44999999999999996,11,Undirected
53,79,0.25,15,Undirected
53,57,0.09999999999999998,18,Undirected
53,61,0.09999999999999998,18,Undirected
53,66,0.09999999999999998,18,Undirected
53,71,0.050000000000000044,19,Undirected
53,84,0.050000000000000044,19,Undirected
53,85,0.050000000000000044,19,Undirected
54,69,0.65,7,Undirected
54,56,0.55,9,Undirected
54,65,0.55,9,Undirected
54,55,0.5,10,Undirected
54,73,0.44999999999999996,11,Undirected
54,74,0.44999999999999996,11,Undirected
54,75,0.44999999999999996,11,Undirected
54,85,0.44999999999999996,11,Undirected
54,77,0.4,12,Undirected
54,78,0.35,13,Undirected
55,75,0.75,5,Undirected
55,64,0.6,8,Undirected
55,83,0.6,8,Undirected
55,87,0.6,8,Undirected
55,56,0.55,9,Undirected
55,59,0.55,9,Undirected
55,65,0.55,9,Undirected
55,58,0.5,10,Undirected
55,74,0.55,9,Undirected
55,80,0.44999999999999996,11,Undirected
55,82,0.35,13,Undirected
56,89,0.8,4,Undirected
56,59,0.7,6,Undirected
56,69,0.7,6,Undirected
56,74,0.7,6,Undirected
56,75,0.7,6,Undirected
56,61,0.65,7,Undirected
56,64,0.65,7,Undirected
56,70,0.65,7,Undirected
56,72,0.65,7,Undirected
56,58,0.55,9,Undirected
56,60,0.55,9,Undirected
56,63,0.55,9,Undirected
56,66,0.55,9,Undirected
56,73,0.6,8,Undirected
56,76,0.55,9,Undirected
56,77,0.25,15,Undirected
56,78,0.30000000000000004,14,Undirected
56,82,0.30000000000000004,14,Undirected
56,85,0.5,10,Undirected
56,86,0.6,8,Undirected
57,81,0.4,12,Undirected
57,61,0.30000000000000004,14,Undirected
57,67,0.30000000000000004,14,Undirected
57,76,0.30000000000000004,14,Undirected
57,83,0.30000000000000004,14,Undirected
57,87,0.30000000000000004,14,Undirected
58,66,0.6,8,Undirected
58,73,0.55,9,Undirected
58,75,0.55,9,Undirected
59,75,0.6,8,Undirected
59,89,0.6,8,Undirected
59,64,0.55,9,Undirected
59,65,0.5,10,Undirected
59,68,0.5,10,Undirected
59,69,0.5,10,Undirected
59,74,0.5,10,Undirected
59,77,0.25,15,Undirected
60,68,0.65,7,Undirected
60,72,0.6,8,Undirected
60,86,0.55,9,Undirected
60,89,0.55,9,Undirected
60,61,0.5,10,Undirected
60,64,0.5,10,Undirected
60,67,0.5,10,Undirected
60,76,0.5,10,Undirected
60,84,0.44999999999999996,11,Undirected
60,88,0.5,10,Undirected
61,89,0.65,7,Undirected
61,72,0.6,8,Undirected
61,76,0.6,8,Undirected
61,69,0.55,9,Undirected
61,74,0.55,9,Undirected
61,75,0.55,9,Undirected
61,85,0.55,9,Undirected
61,80,0.44999999999999996,11,Undirected
61,86,0.55,9,Undirected
62,72,0.6,8,Undirected
62,68,0.55,9,Undirected
62,75,0.55,9,Undirected
62,89,0.55,9,Undirected
63,64,0.8,4,Undirected
63,70,0.6,8,Undirected
63,83,0.6,8,Undirected
63,88,0.6,8,Undirected
63,68,0.55,9,Undirected
63,73,0.55,9,Undirected
63,75,0.55,9,Undirected
63,81,0.5,10,Undirected
64,68,0.75,5,Undirected
64,75,0.75,5,Undirected
64,70,0.7,6,Undirected
64,83,0.7,6,Undirected
64,89,0.65,7,Undirected
64,81,0.5,10,Undirected
64,88,0.6,8,Undirected
65,69,0.6,8,Undirected
65,74,0.6,8,Undirected
65,66,0.55,9,Undirected
65,87,0.55,9,Undirected
65,77,0.25,15,Undirected
65,78,0.30000000000000004,14,Undirected
65,80,0.5,10,Undirected
65,82,0.30000000000000004,14,Undirected
66,74,0.75,5,Undirected
66,71,0.55,9,Undirected
66,73,0.55,9,Undirected
66,85,0.55,9,Undirected
67,69,0.65,7,Undirected
67,87,0.6,8,Undirected
67,73,0.55,9,Undirected
67,85,0.55,9,Undirected
67,88,0.5,10,Undirected
68,89,0.7,6,Undirected
68,72,0.65,7,Undirected
68,78,0.30000000000000004,14,Undirected
68,81,0.55,9,Undirected
68,88,0.55,9,Undirected
69,74,0.6,8,Undirected
69,75,0.6,8,Undirected
69,86,0.6,8,Undirected
69,76,0.55,9,Undirected
69,77,0.35,13,Undirected
69,78,0.30000000000000004,14,Undirected
69,80,0.5,10,Undirected
69,82,0.5,10,Undirected
69,85,0.5,10,Undirected
70,89,0.65,7,Undirected
70,72,0.6,8,Undirected
70,83,0.6,8,Undirected
70,81,0.5,10,Undirected
71,87,0.55,9,Undirected
71,73,0.5,10,Undirected
71,79,0.5,10,Undirected
71,85,0.5,10,Undirected
72,89,0.65,7,Undirected
72,79,0.55,9,Undirected
72,86,0.55,9,Undirected
73,83,0.65,7,Undirected
73,75,0.6,8,Undirected
73,76,0.55,9,Undirected
73,85,0.5,10,Undirected
73,86,0.5,10,Undirected
73,88,0.55,9,Undirected
74,85,0.6,8,Undirected
74,76,0.55,9,Undirected
74,77,0.15000000000000002,17,Undirected
74,82,0.4,12,Undirected
75,89,0.7,6,Undirected
75,76,0.55,9,Undirected
75,78,0.4,12,Undirected
75,80,0.5,10,Undirected
75,83,0.65,7,Undirected
75,85,0.5,10,Undirected
75,87,0.65,7,Undirected
76,85,0.65,7,Undirected
76,86,0.55,9,Undirected
76,88,0.5,10,Undirected
77,82,0.44999999999999996,11,Undirected
79,84,0.6,8,Undirected
79,86,0.5,10,Undirected
80,87,0.55,9,Undirected
80,82,0.30000000000000004,14,Undirected
81,84,0.55,9,Undirected
81,83,0.5,10,Undirected
81,87,0.5,10,Undirected
82,85,0.30000000000000004,14,Undirected
83,88,0.5,10,Undirected
84,88,0.44999999999999996,11,Undirected
86,89,0.5,10,Undirected
